Close,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,RSI,Y_SELL
119.495002,118.894996,119.150001,119.214996,118.989997,118.240303,50.90054319756536,True
119.989997,119.495002,118.894996,119.150001,119.214996,118.989997,52.62498726068218,True
119.86,119.989997,119.495002,118.894996,119.150001,119.214996,52.126382073803796,True
119.655403,119.86,119.989997,119.495002,118.894996,119.150001,51.33256946945077,True
118.944999,119.655403,119.86,119.989997,119.495002,118.894996,48.66405765804848,True
118.883003,118.944999,119.655403,119.86,119.989997,119.495002,48.43618167040022,True
119.029998,118.883003,118.944999,119.655403,119.86,119.989997,49.023125592461255,False
119.230003,119.029998,118.883003,118.944999,119.655403,119.86,49.82894428471247,True
118.68,119.230003,119.029998,118.883003,118.944999,119.655403,47.67955632464608,False
118.25,118.68,119.230003,119.029998,118.883003,118.944999,46.06841348175978,False
118.779998,118.25,118.68,119.230003,119.029998,118.883003,48.301373211377694,False
119.035003,118.779998,118.25,118.68,119.230003,119.029998,49.34779029962436,False
118.510002,119.035003,118.779998,118.25,118.68,119.230003,47.30358020149137,False
119.169998,118.510002,119.035003,118.779998,118.25,118.68,50.003629752259506,False
119.25,119.169998,118.510002,119.035003,118.779998,118.25,50.323588982883834,False
120.459999,119.25,119.169998,118.510002,119.035003,118.779998,54.85510244426343,True
120.479103,120.459999,119.25,119.169998,118.510002,119.035003,54.92242911400117,True
120.650001,120.479103,120.459999,119.25,119.169998,118.510002,55.53757558797577,True
120.18,120.650001,120.479103,120.459999,119.25,119.169998,53.45702219395558,True
120.309997,120.18,120.650001,120.479103,120.459999,119.25,53.95182616385187,True
119.922996,120.309997,120.18,120.650001,120.479103,120.459999,52.23734342782563,False
120.349998,119.922996,120.309997,120.18,120.650001,120.479103,53.91312093002661,True
119.849998,120.349998,119.922996,120.309997,120.18,120.650001,51.71000756616903,True
119.819999,119.849998,120.349998,119.922996,120.309997,120.18,51.57886454329825,True
120.205001,119.819999,119.849998,120.349998,119.922996,120.309997,53.15989037693038,True
120.480003,120.205001,119.819999,119.849998,120.349998,119.922996,54.266030208897796,True
120.3041,120.480003,120.205001,119.819999,119.849998,120.349998,53.4290764633901,True
119.769996,120.3041,120.480003,120.205001,119.819999,119.849998,50.95448955144712,True
119.379997,119.769996,120.3041,120.480003,120.205001,119.819999,49.227979982371686,True
119.033996,119.379997,119.769996,120.3041,120.480003,120.205001,47.739734205443874,False
119.269897,119.033996,119.379997,119.769996,120.3041,120.480003,48.833427783538326,True
119.573997,119.269897,119.033996,119.379997,119.769996,120.3041,50.2259680920905,True
119.260002,119.573997,119.269897,119.033996,119.379997,119.769996,48.803721278519205,True
119.029296,119.260002,119.573997,119.269897,119.033996,119.379997,47.77295736887627,True
119.370002,119.029296,119.260002,119.573997,119.269897,119.033996,49.409365218853246,True
118.0,119.370002,119.029296,119.260002,119.573997,119.269897,43.699704450446625,False
117.980003,118.0,119.370002,119.029296,119.260002,119.573997,43.6233984939416,False
118.093101,117.980003,118.0,119.370002,119.029296,119.260002,44.194927091910664,False
117.855003,118.093101,117.980003,118.0,119.370002,119.029296,43.237954921849386,False
117.785003,117.855003,118.093101,117.980003,118.0,119.370002,42.95437800211739,False
118.040199,117.785003,117.855003,118.093101,117.980003,118.0,44.33463788372247,False
118.638397,118.040199,117.785003,117.855003,118.093101,117.980003,47.42684077311167,True
118.639999,118.638397,118.040199,117.785003,117.855003,118.093101,47.43495023141694,True
118.273002,118.639999,118.638397,118.040199,117.785003,117.855003,45.75811583950547,True
118.449996,118.273002,118.639999,118.638397,118.040199,117.785003,46.700451339403095,True
118.199996,118.449996,118.273002,118.639999,118.638397,118.040199,45.541529546523286,True
118.120002,118.199996,118.449996,118.273002,118.639999,118.638397,45.16957427230103,True
118.010002,118.120002,118.199996,118.449996,118.273002,118.639999,44.64954275793137,True
117.565002,118.010002,118.120002,118.199996,118.449996,118.273002,42.59234152949741,True
117.319999,117.565002,118.010002,118.120002,118.199996,118.449996,41.50060009254668,True
115.400001,117.319999,117.565002,118.010002,118.120002,118.199996,34.34596290130254,True
114.340103,115.400001,117.319999,117.565002,118.010002,118.120002,31.26071730073545,True
115.122001,114.340103,115.400001,117.319999,117.565002,118.010002,35.680843625978184,True
114.993499,115.122001,114.340103,115.400001,117.319999,117.565002,35.294044779805006,True
114.059196,114.993499,115.122001,114.340103,115.400001,117.319999,32.62717589989033,False
114.035003,114.059196,114.993499,115.122001,114.340103,115.400001,32.56110721764267,False
113.879997,114.035003,114.059196,114.993499,115.122001,114.340103,32.12882825706049,False
113.404998,113.879997,114.035003,114.059196,114.993499,115.122001,30.82820468347012,False
114.919998,113.404998,113.879997,114.035003,114.059196,114.993499,38.99640480477776,False
114.660003,114.919998,113.404998,113.879997,114.035003,114.059196,38.19373652619438,False
115.04,114.660003,114.919998,113.404998,113.879997,114.035003,40.06360720266182,False
